,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,No,Datetime,Tweet,Artist,Genre,song,Album,Unnamed: 5,Sentiment
86,86,86,86,118,1/17/2019 7:33,b'Raven Maize  The Real Life is #NowPlaying on  ',Joey Negro,Children's Music,The Real Life, 3XL.Dance,,Positive
87,87,87,87,119,1/17/2019 7:33,"b'#NowPlaying ""Somewhere in Paradise (feat Jeremih &amp R Kelly) by Chance The Rapper on   \n '",Chance The Rapper,rap,somewhere in paradise,chance the rapper,,Neutral
88,88,88,88,120,1/17/2019 7:33,b'#nowplaying Done For Me (James Hype Mix by Charlie Puth Kehlani',Charlie Puth Kehlani,pop,Done For Me, Voicenotes,,Neutral
89,89,89,89,124,1/17/2019 7:33,b'Praise You by Fatboy Slim  #nowplaying #6music',Fatboy Slim,Pop,Praise You,You've Come a Long Way Baby,,Neutral
90,90,90,90,125,1/17/2019 7:33,b'#NowPlaying DJ Jazzy Jeff  How I Do feat Shawn Stockman &amp Cy Young',DJ Jazzy Jeff,Rap, How I Do,The Magnificent,,Positive
91,91,91,91,126,1/17/2019 7:33,b'#NowPlaying #TranceFamily #Trance Matt Darey &amp Lost Tribe  Red Skin (Original 1993 Mix  ',Trance Matt Darey,pop, Lost Tribe  ,Red Skin Original 1993 Mix  ,,Positive
92,92,92,92,127,1/17/2019 7:33,b'ROCK WILL NEVER DIE  Michael Schenker Group  Rock Will Never Die #nowplaying',Michael Schenker,rock,ROCK WILL NEVER DIE,  Rock Will Never Die,,Neutral
93,93,93,93,128,1/17/2019 7:33,b'#NowPlaying on #2HighRadio  Sooner Or Later (Mastered by THC 100 Sooner Or Later  on   #420music #hiphop ',Merriam-Webster,rock, Sooner Or Later, THC 100 Sooner Or Later  ,,Neutral
94,94,94,94,129,1/17/2019 7:33,"b""#NowPlaying God's Plan by Drake  #KeepingTheMusicInMotion #ListenLive #TeamPlatinum #Hiphop #RnB #OnlineRadio""", Drake,pop,God's Plan, Scorpion,,Neutral
95,95,95,95,130,1/17/2019 7:33,b'BOOOM!\nEmpire Of The Clouds  Iron Maiden  #NowPlaying',Iron Maiden,rock,Empire Of The Clouds,The Book of Souls,,Neutral
96,96,96,96,131,1/17/2019 7:33,"b""1000  TVBanG Dream!OP  EP  Poppin'Party \n#NowPoIying #NowPlaying """,TVBanG,pop, Poppin'Party, Dream!OP  EP ,,Neutral
97,97,97,97,132,1/17/2019 7:33,b'#NowPlaying #Slayer  Seasons in the Abyss    #playstation #PlayStation4 #PS2 #PS1 #PS3 #play',Slayer,rock,  Seasons in the Abyss,Slayer  Seasons in the Abyss ,,Neutral
98,98,98,98,134,1/17/2019 7:32,"b'Tuned into ""Deep Techno Connection Session 026 (with Karel van Vliet and ... by Mindflash at  #nowplaying'",Karel van Vliet ,rock,Deep Techno Connection Session,Mindflash,,Neutral
99,99,99,99,135,1/17/2019 7:32,b'I Always Wanna Die (Sometimes de The 1975  #NowPlaying\nNo estoy de emo (s lo estoy)',the 1975,pop,I Always Wanna Die ,Sometimes de ,,Neutral
100,100,100,100,138,1/17/2019 7:32,b'Now Playing Alex Pardo  Always In My Mind (Original Mix #dogglounge #nowplaying', Willie Nelson,country,Always In My Mind, Always On My Mind,,Positive
101,101,101,101,139,1/17/2019 7:32,b'#nowplaying on  We Can Run by Grateful Dead :Listen on the site or on the myTuner radio app ',Grateful Dead,rock,We Can Run ,Built to Last,,Negative
102,102,102,102,141,1/17/2019 7:32,"b'RT   #NowPlaying ""NOBU by Dave East on   \n '",Dave East,rap,NOBU,NOBU  Dave East ,,Neutral
103,103,103,103,145,1/17/2019 7:32,b'#NowPlaying Timati &amp La La Land &amp Timbaland feat Grooya  Not All About The Money On Atlantic Radio Uk #Hits',Timati & Grooya ,rock,Timati La La Land , All About The Money On Atlantic,,Neutral
104,104,104,104,148,1/17/2019 7:32,b'Truth  Trysail\n17 Jan 2019 16:32\n#Nowplaying',TrySail,Anime,Truth,TrySail,,Neutral
105,105,105,105,153,1/17/2019 7:32,b'#NowPlaying Metallica  Master Of Puppets #Radio #webplayer ',Metallica ,rap, Master Of Puppets, Metallica  Master Of Puppets ,,Neutral
106,106,106,106,155,1/17/2019 7:32,b'#nowplaying Timbaland ft SoShy  Morning After Dark (French Version)',SoShy ,pop, Morning After Dark,Timbaland,,Positive
107,107,107,107,156,1/17/2019 7:32,"b'""You thought wrong""   \n#NowPlaying #ThursdayMotivation #ThursdayThoughts'",Tory Lanez,Rap,You thought wrong,Love Me Now,,Positive
108,108,108,108,157,1/17/2019 7:32,b'#NowPlaying on KDUB Radio Nickelback  Never Again\n\n',Nickelback ,rock, Never Again,Silver Side Up,,Neutral
109,109,109,109,158,1/17/2019 7:32,b'#NowPlaying 05 A PRAYER AWAY  Junior Tucker on   #ChroniclesChristianRadio #ccradioco',Junior Tucker ,christian,A PRAYER AWAY ,A PRAYER AWAY  Junior Tucker ,,Neutral
110,110,110,110,159,1/17/2019 7:32,b'PPN Radio is #nowplaying  Watch Us Burn by Synkvervet\nYou can listen too at:',Synkvervet,Metal,Watch Us Burn,You can listen to at,,Neutral
111,111,111,111,161,1/17/2019 7:32,"b""Mississippi Mass Choir  He's Able  #NowPlaying On  -""",Mississippi Mass Choir,christian, He's Able, It Remains To Be Seen,,Negative
112,112,112,112,162,1/17/2019 7:32,b'#NowPlaying Metallica  Master Of Puppets #Radio #webplayer ',Metallica ,rap, Master Of Puppets, Metallica  Master Of Puppets ,,Neutral
113,113,113,113,163,1/17/2019 7:32,b'#NowPlaying Weak by SWV on #UrbanRadio Old School R&amp;B ',SWV ,rock,Weak, It's about time,,Negative
114,114,114,114,164,1/17/2019 7:32,b'#NowPlaying Living on a Prayer [HIW  Bon Jovi #TuneIn #AmazonEcho #InternetRadio \n', Bon Jovi,pop,Living on a Prayer,Slippery When Wet,,Neutral
115,115,115,115,166,1/17/2019 7:32,b'#NowPlaying on infomm radio Rain/Here Comes The Rain Inter by Madonna  #ListenLive ',Madonna,Anime,Rain Here Comes The Rain,Rain Here Comes The Rain Inter ,,Neutral
116,116,116,116,167,1/17/2019 7:32,"b""#NowPlaying It's You by Kem on #UrbanRadio R&amp;B Hits """, Kem,rock,It's You,It's You,,Neutral
117,117,117,117,168,1/17/2019 7:32,"b'#NowPlaying  02:31:42 ET ""Early Birds Of Babylon by Ariel Pink\'s Haunted Graffiti from ""Mature Themes (2012)'",Ariel Pink's Haunted Graffiti,Alternative,Early Birds Of Babylon, Mature Themes,,Negative
118,118,118,118,169,1/17/2019 7:32,b'Toni Braxton  My Heart\n#NowPlaying', Toni Braxton,Soul, My Heart, My Heart,,Neutral
119,119,119,119,170,1/17/2019 7:32,b'#NowPlaying Thylacine  Purmamarca ',Thylacine,Electronic,Purmamarca,ROADS - Vol.1,,Neutral
120,120,120,120,171,1/17/2019 7:32,b'#NowPlaying Panic At The Disco  Fuck A Silver Lining Panic At The Disco \nLRdR  Radio Hits dcouvertes   ',Panic At The Disco,Alternative,  Fuck A Silver Lining Panic At The Disco, Pray for the Wicked,,Negative
121,121,121,121,172,1/17/2019 7:31,b'#NowPlaying Tea in the Sahara  Synchronicity by The Police ', The Police,ROCK, Tea in the Sahara ,  Synchronicity ,,Neutral
122,122,122,122,173,1/17/2019 7:31,"b'#NowPlaying ""Me And My Girlfriend by 2Pac Makaveli in   '",Tupac Shakur,Rap,Me And My Girlfriend,The Don Killuminati: The 7 Day Theory,,Neutral
123,123,123,123,175,1/17/2019 7:31,"b""#NowPlaying Whitney Houston  I'm Your Baby Tonight #Pop #Rock #Soul #Oldies #Radio #WhitneyHouston On """,Whitney Houston,pop, I'm Your Baby Tonight ,I'm Your Baby Tonight,,Neutral
124,124,124,124,176,1/17/2019 7:31,b'#NowPlaying Frozen by Delain', Delain,Metal, Frozen, Lucidity,,Neutral
125,125,125,125,177,1/17/2019 7:31,b'Listening to Shri Vishnu Stuti to           #nowplaying  via  ', Anuradha Paudwal & Bhushan Dua,christian,Shri Vishnu Stuti,Shri Vishnu Stuti,,Neutral
126,126,126,126,178,1/17/2019 7:31,b'#nowplaying Yen Sung  Do You (Deep Dub 1  streaming on  |', Yen Sung  ,Electronic,Do You, Yen Sung  Do You,,Neutral
127,127,127,127,179,1/17/2019 7:31,"b'#nowplaying ""Tame Impala  Half Full Glass Of Wine [Live] from the album [Currents [Live [Bonus Disc]] #tameimpala'",Tame Impala ,Alternative, Half Full Glass Of Wine, Innerspeaker,,Negative
128,128,128,128,180,1/17/2019 7:31,b'#nowplaying Sofistifunk  Return to Forever (The Anthology  1975  ', Return to Forever,Jazz,Sofistifunk , No Mystery,,Neutral
129,129,129,129,181,1/17/2019 7:31,"b""#NowPlaying Hold On We're Going Home by Drake on #UrbanRadio Smooth R&amp;B """, Drake ,Rap, Hold On We're Going Home , Nothing Was the Same,,Negative
130,130,130,130,182,1/17/2019 7:31,b'#NowPlaying make am  Patoranking', Patoranking,Reggae,make am  ,Patoranking,,Neutral
131,131,131,131,183,1/17/2019 7:31,b'#NowPlaying 1910 Fruitgum Company  1 2 3 Red Light #Pop #Rock #Oldies #Radio #1910FruitgumCompany On ',1910 Fruitgum Company,pop,  1 2 3 Red Light ,1 2 3 Red Light,,Positive
132,132,132,132,187,1/17/2019 7:31,"b'Now Playing ""The Other Side of Love   Feat Sister M (Album  ""miusic The best of 1997-2012 [Disc 1]"" #NowPlaying'", Ryuichi Sakamoto& Miu Sakamoto,pop,The Other Side of Love,Sister M,,Negative
133,133,133,133,188,1/17/2019 7:31,"b'#Nowplaying  ""Annette Tenaya    Eternal-Life-ZOE in OKAYWAVES RADIO Download app here '",Annette Tenaya,pop,Eternal-Life-ZOE,  OKAYWAVES,,Neutral
134,134,134,134,191,1/17/2019 7:31,b'#NowPlaying on J-Pop Project Radio Mysterious Magic by Do As Infinity #jpop',Do As Infinity,pop,Mysterious Magic , BRAND NEW DAYS,,Positive
135,135,135,135,194,1/17/2019 7:31,b'#NowPlaying Hiphop Tamizha Kaushik Krish  Enna Nadanthalum\n\n#ISAIFM',Hiphop Tamizha& Kaushik Krish,pop,Enna Nadanthalum, Meesaya Murukku,,Neutral
136,136,136,136,196,1/17/2019 7:31,b'Hoy Traducimos How Many Tears (Helloween)\n\n#Helloween #Lyrics #Letra #KaiHansen #NowPlaying ',Hoy Traducimos ,Electronic,How Many Tears ,Helloween,,Negative
137,137,137,137,200,1/17/2019 7:31,b'Keep Being You (Osvaldorio Remix  Isyana Sarasvati #NowPlaying #IstaraFM [14:31 wib]', Isyana Sarasvati,pop,Keep Being You, EXPLORE!,,Neutral
138,138,138,138,202,1/17/2019 7:31,b'Sugar Pill by Ambulance Ltd from LP #NowPlaying #CollegeRadio',Ambulance LTD,Alternative,Sugar Pill,LP,,Neutral
139,139,139,139,203,1/17/2019 7:31,b'#nowPlaying Yes  Going for the One\n\nYour home for Classic Hits',Yes,ROCK,  Going for the One,Yes  ,,Positive
140,140,140,140,204,1/17/2019 7:31,b'#NowPlaying Flex by Atm Uno  Listen On  or Download #MixtapeHeat App #WeBreakRecords ',Atm Uno,Rap,Flex ,Flex,,Neutral
141,141,141,141,205,1/17/2019 7:31,b'Pemenang by Sheila On 7  #NowPlaying', Sheila on 7,Alternative,Pemenang ,507,,Neutral
142,142,142,142,206,1/17/2019 7:31,b'#NowPlaying Roll In Peace by   listen at  ',Kodak Black,Rap,Roll In Peace,Project Baby 2,,Neutral
143,143,143,143,207,1/17/2019 7:31,b'En L!ve sur GalaxieRadio #NowPlaying Capricorn (2018 ELDERBROOK ELDERBROOK  Capricorn (2018)', Elderbrook,Electronic,Capricorn, Old Friend,,Neutral
144,144,144,144,208,1/17/2019 7:31,b'Ahora Escuchas a Quarterflash  Take Me To Heart #NowPlaying ', Quarterflash,Rock,Take Me To Heart,Quarterflash Take Me To Heart,,Neutral
